"Lender name","University","Country / Main Campus","Criteria","Source","Courses","_RowNumber","_UniversityOriginal","_CountryOriginal","_UniversityNorm","_CountryNormOriginal","_CountryNormProposed","_ChangedUniversity","_ChangedCountry","_CountryConfidence","_CountryBreakdown"
"Mpower","SUNY at Albany","United States of America","Listed","https://www.mpowerfinancing.com/get-a-loan/schools-we-support#schools","Healthcare & MBA (Within 2 yrs of UG); STEM","3730","SUNY at Albany","United States of America","suny at albany","united states of america","united states of america","False","False","medium","united states of america:2"
"Mpower","SUNY at Binghamton","United States of America","Listed","https://www.mpowerfinancing.com/get-a-loan/schools-we-support#schools","Healthcare & MBA (Within 2 yrs of UG); STEM","3731","SUNY at Binghamton","United States of America","suny at binghamton","united states of america","united states of america","False","False","high","united states of america:1"
"Mpower","SUNY at Stony Brook","United States of America","Listed","https://www.mpowerfinancing.com/get-a-loan/schools-we-support#schools","Healthcare & MBA (Within 2 yrs of UG); STEM","3732","SUNY at Stony Brook","United States of America","suny at stony brook","united states of america","united states of america","False","False","high","united states of america:1"
"Leapfinance","SUNY College of Environmental Science and Forestry","United States of America","Listed","https://leapfinance.com/courses","Any course","3733","SUNY College of Environmental Science and Forestry","United States of America","suny college of environmental science and forestry","united states of america","united states of america","False","False","medium","united states of america:2"
"Mpower","SUNY College of Environmental Science and Forestry","United States of America","Listed","https://www.mpowerfinancing.com/get-a-loan/schools-we-support#schools","Healthcare & MBA (Within 2 yrs of UG); STEM","3734","SUNY College of Environmental Science and Forestry","United States of America","suny college of environmental science and forestry","united states of america","united states of america","False","False","medium","united states of america:2"
"Mpower","SUNY Downstate Medical Center","United States of America","Listed","https://www.mpowerfinancing.com/get-a-loan/schools-we-support#schools","Healthcare & MBA (Within 2 yrs of UG); STEM","3735","SUNY Downstate Medical Center","United States of America","suny downstate medical center","united states of america","united states of america","False","False","high","united states of america:1"
"Bank of India","Suranaree University of Technology","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course","3736","Suranaree University of Technology","United States of America","suranaree university of technology","united states of america","united states of america","False","False","high","united states of america:1"
"Bank of India","Suzhou University of Science & Technology","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course","3737","Suzhou University of Science & Technology","United States of America","suzhou university of science and technology","united states of america","united states of america","False","False","high","united states of america:1"
"Bank of India","Swansea University","United Kingdom","Top 1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","3738","Swansea University","United Kingdom","swansea university","united kingdom","united kingdom","False","False","high","united kingdom:4"
"Indian Overseas Bank","Swansea University","United Kingdom","Top 200 to 300 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","3739","Swansea University","United Kingdom","swansea university","united kingdom","united kingdom","False","False","high","united kingdom:4"
"Prodigy","Swansea University","United Kingdom","Listed","https://prodigyfinance.com/where-can-i-study/","Business & Management; Computer Science & IT; Engineering & Technology; Medicine & Health; Natural Sciences; Social Sciences","3740","Swansea University","United Kingdom","swansea university","united kingdom","united kingdom","False","False","high","united kingdom:4"
"Yes Bank","Swansea University","United Kingdom","Top 75-300 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","3741","Swansea University","United Kingdom","swansea university","united kingdom","united kingdom","False","False","high","united kingdom:4"
"Bank of India","Swarthmore College","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course","3742","Swarthmore College","United States of America","swarthmore college","united states of america","united states of america","False","False","medium","united states of america:2"
"Mpower","Swarthmore College","United States of America","Listed","https://www.mpowerfinancing.com/get-a-loan/schools-we-support#schools","Healthcare & MBA (Within 2 yrs of UG); STEM","3743","Swarthmore College","United States of America","swarthmore college","united states of america","united states of america","False","False","medium","united states of america:2"
"Bank of India","Swedish University of Agricultural Sciences","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course","3744","Swedish University of Agricultural Sciences","United States of America","swedish university of agricultural sciences","united states of america","united states of america","False","False","high","united states of america:1"
"Bank of India","Swinburne University of Technology","Australia","Top 1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","3745","Swinburne University of Technology","Australia","swinburne university of technology","australia","australia","False","False","high","australia:4"
"Indian Overseas Bank","Swinburne University of Technology","Australia","Top 200 to 300 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","3746","Swinburne University of Technology","Australia","swinburne university of technology","australia","australia","False","False","high","australia:4"
"Prodigy","Swinburne University of Technology","Australia","Listed","https://prodigyfinance.com/where-can-i-study/","Business & Management; Computer Science & IT; Engineering & Technology; Natural Sciences","3747","Swinburne University of Technology","Australia","swinburne university of technology","australia","australia","False","False","high","australia:4"
"Yes Bank","Swinburne University of Technology","Australia","Top 75-300 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","3748","Swinburne University of Technology","Australia","swinburne university of technology","australia","australia","False","False","high","australia:4"
"Bank of India","SWPS University of Social Sciences and Humanities","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course","3749","SWPS University of Social Sciences and Humanities","United States of America","swps university of social sciences and humanities","united states of america","united states of america","False","False","high","united states of america:1"
