"Lender name","University","Country / Main Campus","Criteria","Source","Courses","_RowNumber","_UniversityOriginal","_CountryOriginal","_UniversityNorm","_CountryNormOriginal","_CountryNormProposed","_ChangedUniversity","_ChangedCountry","_CountryConfidence","_CountryBreakdown"
"Bank of India","Edith Cowan University","Australia","Top 1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","1098","Edith Cowan University","Australia","edith cowan university","australia","australia","False","False","high","australia:4"
"Indian Overseas Bank","Edith Cowan University","Australia","Top 300+ as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","1099","Edith Cowan University","Australia","edith cowan university","australia","australia","False","False","high","australia:4"
"Prodigy","Edith Cowan University","Australia","Listed","https://prodigyfinance.com/where-can-i-study/","Business & Management; Computer Science & IT; Engineering & Technology; Law","1100","Edith Cowan University","Australia","edith cowan university","australia","australia","False","False","high","australia:4"
"Yes Bank","Edith Cowan University","Australia","Top 300-500 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","1101","Edith Cowan University","Australia","edith cowan university","australia","australia","False","False","high","australia:4"
"Bank of India","Education University of Hong Kong (Hong Kong Institute of Education)","China","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course","1102","Education University of Hong Kong (Hong Kong Institute of Education)","China","education university of hong kong hong kong institute of education","china","china","False","False","high","china:1"
"Bank of India","Effat University","Saudi Arabia","Top 1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","1103","Effat University","Saudi Arabia","effat university","saudi arabia","saudi arabia","False","False","high","saudi arabia:3"
"Indian Overseas Bank","Effat University","Saudi Arabia","Top 300+ as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","1104","Effat University","Saudi Arabia","effat university","saudi arabia","saudi arabia","False","False","high","saudi arabia:3"
"Yes Bank","Effat University","Saudi Arabia","Top 500 -1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","1105","Effat University","Saudi Arabia","effat university","saudi arabia","saudi arabia","False","False","high","saudi arabia:3"
"Bank of India","Ege University","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course","1106","Ege University","United States of America","ege university","united states of america","united states of america","False","False","high","united states of america:1"
"Bank of India","Egerton University","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course","1107","Egerton University","United States of America","egerton university","united states of america","united states of america","False","False","high","united states of america:1"
"Bank of India","Egypt Japan University of Science & Technology","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course","1108","Egypt Japan University of Science & Technology","United States of America","egypt japan university of science and technology","united states of america","united states of america","False","False","high","united states of america:1"
"Bank of India","Ehime University","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course","1109","Ehime University","United States of America","ehime university","united states of america","united states of america","False","False","high","united states of america:1"
"Bank of India","Eidgenossische Technische Hochschule ETH Zurich","Switzerland","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course","1110","Eidgenossische Technische Hochschule ETH Zurich","Switzerland","eidgenossische technische hochschule eth zurich","switzerland","switzerland","False","False","high","switzerland:1"
"Bank of Baroda","Eindhoven University of Technology","Netherlands","Listed","As per bank list - https://bankofbaroda.bank.in/personal-banking/loans/education-loan/-/media/Project/BOB/CountryWebsites/India/pdfs2/2023/23-12/STEM-Courses-new.pdf","STEM","1111","Eindhoven University of Technology","Netherlands","eindhoven university of technology","netherlands","netherlands","False","False","high","netherlands:5"
"Bank of India","Eindhoven University of Technology","Netherlands","Top 1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","1112","Eindhoven University of Technology","Netherlands","eindhoven university of technology","netherlands","netherlands","False","False","high","netherlands:5"
"Indian Overseas Bank","Eindhoven University of Technology","Netherlands","Top 50 to 200 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","1113","Eindhoven University of Technology","Netherlands","eindhoven university of technology","netherlands","netherlands","False","False","high","netherlands:5"
"Union Bank of India","Eindhoven University of Technology","Netherlands","Category B","As per bank list - https://www.unionbankofindia.bank.in/en/details/special-union-education-loan-schemes-for-premier-institute-abroad-studies","MANAGEMENT; STEM","1114","Eindhoven University of Technology","Netherlands","eindhoven university of technology","netherlands","netherlands","False","False","high","netherlands:5"
"Yes Bank","Eindhoven University of Technology","Netherlands","Top 75-300 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","1115","Eindhoven University of Technology","Netherlands","eindhoven university of technology","netherlands","netherlands","False","False","high","netherlands:5"
"Bank of India","Elon University","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course","1116","Elon University","United States of America","elon university","united states of america","united states of america","False","False","medium","united states of america:2"
"Mpower","Elon University","United States of America","Listed","https://www.mpowerfinancing.com/get-a-loan/schools-we-support#schools","Healthcare & MBA (Within 2 yrs of UG); STEM","1117","Elon University","United States of America","elon university","united states of america","united states of america","False","False","medium","united states of america:2"
"Bank of India","EM Lyon Business School","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course","1118","EM Lyon Business School","United States of America","em lyon business school","united states of america","united states of america","False","False","high","united states of america:1"
"Bank of India","Embry Riddle Aeronautical University","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course","1119","Embry Riddle Aeronautical University","United States of America","embry riddle aeronautical university","united states of america","united states of america","False","False","medium","united states of america:2"
"Leapfinance","Embry Riddle Aeronautical University","United States of America","Listed","https://leapfinance.com/courses","Any course","1120","Embry-Riddle Aeronautical University","United States of America","embry riddle aeronautical university","united states of america","united states of america","True","False","medium","united states of america:2"
"Mpower","Embry-Riddle Aeronautical University-Daytona Beach","United States of America","Listed","https://www.mpowerfinancing.com/get-a-loan/schools-we-support#schools","Healthcare & MBA (Within 2 yrs of UG); STEM","1121","Embry-Riddle Aeronautical University-Daytona Beach","United States of America","embry riddle aeronautical university daytona beach","united states of america","united states of america","False","False","high","united states of america:1"
"Mpower","Embry-Riddle Aeronautical University-Prescott","United States of America","Listed","https://www.mpowerfinancing.com/get-a-loan/schools-we-support#schools","Healthcare & MBA (Within 2 yrs of UG); STEM","1122","Embry-Riddle Aeronautical University-Prescott","United States of America","embry riddle aeronautical university prescott","united states of america","united states of america","False","False","high","united states of america:1"
"Bank of India","Emerson College","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course","1123","Emerson College","United States of America","emerson college","united states of america","united states of america","False","False","medium","united states of america:2"
"Mpower","Emerson College","United States of America","Listed","https://www.mpowerfinancing.com/get-a-loan/schools-we-support#schools","Healthcare & MBA (Within 2 yrs of UG); STEM","1124","Emerson College","United States of America","emerson college","united states of america","united states of america","False","False","medium","united states of america:2"
"Prodigy","Emlyon business school","France","Listed","https://prodigyfinance.com/where-can-i-study/","Business & Management; Engineering & Technology","1125","Emlyon business school","France","emlyon business school","france","france","False","False","high","france:1"
"Bank of Baroda","Emory University","United States of America","Listed","As per bank list - https://bankofbaroda.bank.in/personal-banking/loans/education-loan/-/media/Project/BOB/CountryWebsites/India/pdfs/management-course-new.pdf","Management; Medical","1126","Emory University","United States of America","emory university","united states of america","united states of america","False","False","high","united states of america:9"
"Bank of India","Emory University","United States of America","Top 1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","1127","Emory University","United States of America","emory university","united states of america","united states of america","False","False","high","united states of america:9"
"Indian Overseas Bank","Emory University","United States of America","Top 50 to 200 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","1128","Emory University","United States of America","emory university","united states of america","united states of america","False","False","high","united states of america:9"
"Leapfinance","Emory University","United States of America","Listed","https://leapfinance.com/courses","Any course","1129","Emory University","United States of America","emory university","united states of america","united states of america","False","False","high","united states of america:9"
"Mpower","Emory University","United States of America","Listed","https://www.mpowerfinancing.com/get-a-loan/schools-we-support#schools","Healthcare & MBA (Within 2 yrs of UG); STEM","1130","Emory University","United States of America","emory university","united states of america","united states of america","False","False","high","united states of america:9"
"Prodigy","Emory University","United States of America","Listed","https://prodigyfinance.com/where-can-i-study/","Business & Management; Computer Science & IT; Social Sciences","1131","Emory University","United States of America","emory university","united states of america","united states of america","False","False","high","united states of america:9"
"State Bank of India","Emory University","United States of America","Annexure","As per bank list - https://drive.google.com/file/d/12exUFGGWOjypQI8sfCYLEz_Moavy22eH/view","Any course","1132","Emory University","United States of America","emory university","united states of america","united states of america","False","False","high","united states of america:9"
"Union Bank of India","Emory University","United States of America","Category A","As per bank list - https://www.unionbankofindia.bank.in/en/details/special-union-education-loan-schemes-for-premier-institute-abroad-studies","Law and Medical; Management; STEM","1133","Emory University","United States of America","emory university","united states of america","united states of america","False","False","high","united states of america:9"
"Yes Bank","Emory University","United States of America","Top 75-300 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","1134","Emory University","United States of America","emory university","united states of america","united states of america","False","False","high","united states of america:9"
"Bank of India","Emporia State University","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course","1135","Emporia State University","United States of America","emporia state university","united states of america","united states of america","False","False","high","united states of america:1"
"Bank of India","Eotvos Lorand University","Hungary","Top 1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","1136","Eotvos Lorand University","Hungary","eotvos lorand university","hungary","hungary","False","False","high","hungary:3"
"Indian Overseas Bank","Eotvos Lorand University","Hungary","Top 300+ as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","1137","Eotvos Lorand University","Hungary","eotvos lorand university","hungary","hungary","False","False","high","hungary:3"
"Yes Bank","Eotvos Lorand University","Hungary","Top 500 -1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","1138","Eotvos Lorand University","Hungary","eotvos lorand university","hungary","hungary","False","False","high","hungary:3"
"Bank of India","Eotvos Lorand University Budapest","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course","1139","Eotvos Lorand University Budapest","United States of America","eotvos lorand university budapest","united states of america","united states of america","False","False","high","united states of america:1"
"Bank of Baroda","EPFL (Ecole Polytechnique Federale de Lausanne)","Switzerland","Listed","As per bank list - https://bankofbaroda.bank.in/personal-banking/loans/education-loan/-/media/Project/BOB/CountryWebsites/India/pdfs2/2023/23-12/STEM-Courses-new.pdf","STEM","1140","EPFL (Ecole Polytechnique Federale de Lausanne)","Switzerland","epfl ecole polytechnique federale de lausanne","switzerland","switzerland","False","False","high","switzerland:1"
"Bank of India","Erasmus University of Rotterdam","Netherlands","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course","1141","Erasmus University of Rotterdam","Netherlands","erasmus university of rotterdam","netherlands","netherlands","False","False","medium","netherlands:2"
"Union Bank of India","Erasmus University of Rotterdam","Netherlands","Category B","As per bank list - https://www.unionbankofindia.bank.in/en/details/special-union-education-loan-schemes-for-premier-institute-abroad-studies","LAW; MANAGEMENT","1142","Erasmus University of Rotterdam","Netherlands","erasmus university of rotterdam","netherlands","netherlands","False","False","medium","netherlands:2"
"Bank of Baroda","Erasmus University Rotterdam","Netherlands","Listed","As per bank list - https://bankofbaroda.bank.in/personal-banking/loans/education-loan/-/media/Project/BOB/CountryWebsites/India/pdfs/management-course-new.pdf","Management; Medical","1143","Erasmus University Rotterdam","Netherlands","erasmus university rotterdam","netherlands","netherlands","False","False","high","netherlands:6"
"Bank of India","Erasmus University Rotterdam","Netherlands","Top 1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","1144","Erasmus University Rotterdam","Netherlands","erasmus university rotterdam","netherlands","netherlands","False","False","high","netherlands:6"
"Indian Overseas Bank","Erasmus University Rotterdam","Netherlands","Top 50 to 200 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","1145","Erasmus University Rotterdam","Netherlands","erasmus university rotterdam","netherlands","netherlands","False","False","high","netherlands:6"
"State Bank of India","Erasmus University Rotterdam","Netherlands","Annexure","As per bank list - https://drive.google.com/file/d/12exUFGGWOjypQI8sfCYLEz_Moavy22eH/view","Any course","1146","Erasmus University Rotterdam","Netherlands","erasmus university rotterdam","netherlands","netherlands","False","False","high","netherlands:6"
"Union Bank of India","Erasmus University Rotterdam","Netherlands","Category A","As per bank list - https://www.unionbankofindia.bank.in/en/details/special-union-education-loan-schemes-for-premier-institute-abroad-studies","Management","1147","Erasmus University Rotterdam","Netherlands","erasmus university rotterdam","netherlands","netherlands","False","False","high","netherlands:6"
"Yes Bank","Erasmus University Rotterdam","Netherlands","Top 75-300 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","1148","Erasmus University Rotterdam","Netherlands","erasmus university rotterdam","netherlands","netherlands","False","False","high","netherlands:6"
"Bank of India","Erciyes University","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course","1149","Erciyes University","United States of America","erciyes university","united states of america","united states of america","False","False","high","united states of america:1"
"Bank of India","Ernst Moritz Arndt Universitat Greifswald","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course","1150","Ernst Moritz Arndt Universitat Greifswald","United States of America","ernst moritz arndt universitat greifswald","united states of america","united states of america","False","False","high","united states of america:1"
"Prodigy","ESCP Business School","France","Listed","https://prodigyfinance.com/where-can-i-study/","Business & Management","1151","ESCP Business School","France","escp business school","france","france","False","False","high","france:1"
"Prodigy","ESCP Europe Business School","United Kingdom","Listed","https://prodigyfinance.com/where-can-i-study/","Business & Management","1152","ESCP Europe Business School","United Kingdom","escp europe business school","united kingdom","united kingdom","False","False","high","united kingdom:1"
"Bank of India","Escuela Politecnica Nacional","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course","1153","Escuela Politecnica Nacional","United States of America","escuela politecnica nacional","united states of america","united states of america","False","False","high","united states of america:1"
"Bank of India","Escuela Superior Politecnica del Litoral","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course","1154","Escuela Superior Politecnica del Litoral","United States of America","escuela superior politecnica del litoral","united states of america","united states of america","False","False","high","united states of america:1"
"Bank of India","Escuela Superior Politecnica del Litoral - ESPOL","Ecuador","Top 1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","1155","Escuela Superior Politecnica del Litoral - ESPOL","Ecuador","escuela superior politecnica del litoral espol","ecuador","ecuador","False","False","high","ecuador:3"
"Indian Overseas Bank","Escuela Superior Politecnica del Litoral - ESPOL","Ecuador","Top 300+ as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","1156","Escuela Superior Politecnica del Litoral - ESPOL","Ecuador","escuela superior politecnica del litoral espol","ecuador","ecuador","False","False","high","ecuador:3"
"Yes Bank","Escuela Superior Politecnica del Litoral - ESPOL","Ecuador","Top 500 -1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","1157","Escuela Superior Politecnica del Litoral - ESPOL","Ecuador","escuela superior politecnica del litoral espol","ecuador","ecuador","False","False","high","ecuador:3"
"Bank of India","ESIC Escuela Superior de Gestion Comercial y Marketing","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course","1158","ESIC Escuela Superior de Gestion Comercial y Marketing","United States of America","esic escuela superior de gestion comercial y marketing","united states of america","united states of america","False","False","high","united states of america:1"
"Bank of India","Eskisehir Osmangazi University","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course","1159","Eskisehir Osmangazi University","United States of America","eskisehir osmangazi university","united states of america","united states of america","False","False","high","united states of america:1"
"Bank of Baroda","ESMT Berlin","Germany","Listed","As per bank list - https://bankofbaroda.bank.in/personal-banking/loans/education-loan/-/media/Project/BOB/CountryWebsites/India/pdfs/management-course-new.pdf","Management","1160","ESMT Berlin","Germany","esmt berlin","germany","germany","False","False","high","germany:1"
"Prodigy","ESSEC Business School","France","Listed","https://prodigyfinance.com/where-can-i-study/","Business & Management; Computer Science & IT","1161","ESSEC Business School","France","essec business school","france","france","False","False","high","france:1"
"Bank of India","Estonian University of Life Sciences","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course","1162","Estonian University of Life Sciences","United States of America","estonian university of life sciences","united states of america","united states of america","False","False","high","united states of america:1"
"Bank of Baroda","ETH Zurich","Switzerland","Listed","As per bank list - https://bankofbaroda.bank.in/personal-banking/loans/education-loan/-/media/Project/BOB/CountryWebsites/India/pdfs/management-course-new.pdf","Art; Econamics & Econometrics; Law; Management; Performing Arts and Design Courses","1163","ETH Zurich","Switzerland","eth zurich","switzerland","switzerland","False","False","high","switzerland:7"
"Bank of India","ETH Zurich","Switzerland","Top 1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","1164","ETH Zurich","Switzerland","eth zurich","switzerland","switzerland","False","False","high","switzerland:7"
"Indian Overseas Bank","ETH Zurich","Switzerland","Top 50 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","1165","ETH Zurich","Switzerland","eth zurich","switzerland","switzerland","False","False","high","switzerland:7"
"Punjab National Bank","ETH Zurich","Switzerland","Annexure B","As per bank list","Any course","1166","ETH Zurich","Switzerland","eth zurich","switzerland","switzerland","False","False","high","switzerland:7"
"State Bank of India","ETH Zurich","Switzerland","Annexure","As per bank list - https://drive.google.com/file/d/12exUFGGWOjypQI8sfCYLEz_Moavy22eH/view","Any course","1167","ETH Zurich","Switzerland","eth zurich","switzerland","switzerland","False","False","high","switzerland:7"
"Union Bank of India","ETH Zurich","Switzerland","Category A","As per bank list - https://www.unionbankofindia.bank.in/en/details/special-union-education-loan-schemes-for-premier-institute-abroad-studies","Art; Design; Economics & Econometrics; Law; Performing Arts; STEM; and Management","1168","ETH Zurich","Switzerland","eth zurich","switzerland","switzerland","False","False","high","switzerland:7"
"Yes Bank","ETH Zurich","Switzerland","Top 75 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","1169","ETH Zurich","Switzerland","eth zurich","switzerland","switzerland","False","False","high","switzerland:7"
"Bank of Baroda","ETH Zurich - Swiss Federal Institute of Technology","Switzerland","Listed","As per bank list - https://bankofbaroda.bank.in/personal-banking/loans/education-loan/-/media/Project/BOB/CountryWebsites/India/pdfs2/2023/23-12/STEM-Courses-new.pdf","STEM","1170","ETH Zurich - Swiss Federal Institute of Technology","Switzerland","eth zurich swiss federal institute of technology","switzerland","switzerland","False","False","high","switzerland:1"
"Bank of India","Europa Universitat Viadrina Frankfurt Oder","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course","1171","Europa Universitat Viadrina Frankfurt Oder","United States of America","europa universitat viadrina frankfurt oder","united states of america","united states of america","False","False","high","united states of america:1"
"Bank of India","European University Cyprus","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course","1172","European University Cyprus","United States of America","european university cyprus","united states of america","united states of america","False","False","high","united states of america:1"
"Bank of India","European University Institute","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course","1173","European University Institute","United States of America","european university institute","united states of america","united states of america","False","False","high","united states of america:1"
"Bank of India","European University of Lefke (EUL)","Northern Cyprus","Top 1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","1174","European University of Lefke (EUL)","Northern Cyprus","european university of lefke eul","northern cyprus","northern cyprus","False","False","high","northern cyprus:3"
"Indian Overseas Bank","European University of Lefke (EUL)","Northern Cyprus","Top 300+ as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","1175","European University of Lefke (EUL)","Northern Cyprus","european university of lefke eul","northern cyprus","northern cyprus","False","False","high","northern cyprus:3"
"Yes Bank","European University of Lefke (EUL)","Northern Cyprus","Top 500 -1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","1176","European University of Lefke (EUL)","Northern Cyprus","european university of lefke eul","northern cyprus","northern cyprus","False","False","high","northern cyprus:3"
"Bank of India","Ewha Womans University","South Korea","Top 1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","1177","Ewha Womans University","South Korea","ewha womans university","south korea","south korea","False","False","high","south korea:3"
"Indian Overseas Bank","Ewha Womans University","South Korea","Top 300+ as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","1178","Ewha Womans University","South Korea","ewha womans university","south korea","south korea","False","False","high","south korea:3"
"Yes Bank","Ewha Womans University","South Korea","Top 500 -1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","1179","Ewha Womans University","South Korea","ewha womans university","south korea","south korea","False","False","high","south korea:3"
"Bank of India","Ewha Womens University","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course","1180","Ewha Womens University","United States of America","ewha womens university","united states of america","united states of america","False","False","high","united states of america:1"
"Bank of India","Fachhochschule Munster","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course","1181","Fachhochschule Munster","United States of America","fachhochschule munster","united states of america","united states of america","False","False","high","united states of america:1"
"Bank of India","Fachhochschule Nordwestschweiz","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course","1182","Fachhochschule Nordwestschweiz","United States of America","fachhochschule nordwestschweiz","united states of america","united states of america","False","False","high","united states of america:1"
"Bank of India","Fachhochschule Oberosterreich","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course","1183","Fachhochschule Oberosterreich","United States of America","fachhochschule oberosterreich","united states of america","united states of america","False","False","high","united states of america:1"
"Bank of India","Fairfield University","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course","1184","Fairfield University","United States of America","fairfield university","united states of america","united states of america","False","False","medium","united states of america:2"
"Mpower","Fairfield University","United States of America","Listed","https://www.mpowerfinancing.com/get-a-loan/schools-we-support#schools","Healthcare & MBA (Within 2 yrs of UG); STEM","1185","Fairfield University","United States of America","fairfield university","united states of america","united states of america","False","False","medium","united states of america:2"
"Bank of India","Fairleigh Dickinson University","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course","1186","Fairleigh Dickinson University","United States of America","fairleigh dickinson university","united states of america","united states of america","False","False","high","united states of america:1"
"Bank of India","Far Eastern Federal University","Russian Federation","Top 1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","1187","Far Eastern Federal University","Russian Federation","far eastern federal university","russian federation","russian federation","False","False","high","russian federation:3"
"Indian Overseas Bank","Far Eastern Federal University","Russian Federation","Top 300+ as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","1188","Far Eastern Federal University","Russian Federation","far eastern federal university","russian federation","russian federation","False","False","high","russian federation:3"
"Yes Bank","Far Eastern Federal University","Russian Federation","Top 500 -1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","1189","Far Eastern Federal University","Russian Federation","far eastern federal university","russian federation","russian federation","False","False","high","russian federation:3"
"Bank of India","Fayetteville State University","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course","1190","Fayetteville State University","United States of America","fayetteville state university","united states of america","united states of america","False","False","high","united states of america:1"
"Bank of India","Fayoum University","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course","1191","Fayoum University","United States of America","fayoum university","united states of america","united states of america","False","False","high","united states of america:1"
"Bank of India","Federal University of Agriculture Abeokuta","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course","1192","Federal University of Agriculture Abeokuta","United States of America","federal university of agriculture abeokuta","united states of america","united states of america","False","False","high","united states of america:1"
"Bank of India","Federal University of Technology Akure","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course","1193","Federal University of Technology Akure","United States of America","federal university of technology akure","united states of america","united states of america","False","False","high","united states of america:1"
"Bank of India","Federal University of Technology Minna","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course","1194","Federal University of Technology Minna","United States of America","federal university of technology minna","united states of america","united states of america","False","False","high","united states of america:1"
"Bank of India","Federation University Australia","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course","1195","Federation University Australia","United States of America","federation university australia","united states of america","united states of america","False","False","high","united states of america:1"
"Bank of India","Feng Chia University","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course","1196","Feng Chia University","United States of America","feng chia university","united states of america","united states of america","False","False","high","united states of america:1"
"Bank of India","Ferdowsi University of Mashhad","Iran","Top 1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","1197","Ferdowsi University of Mashhad","Iran","ferdowsi university of mashhad","iran","iran","False","False","high","iran:3"
"Indian Overseas Bank","Ferdowsi University of Mashhad","Iran","Top 300+ as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","1198","Ferdowsi University of Mashhad","Iran","ferdowsi university of mashhad","iran","iran","False","False","high","iran:3"
"Yes Bank","Ferdowsi University of Mashhad","Iran","Top 500 -1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","1199","Ferdowsi University of Mashhad","Iran","ferdowsi university of mashhad","iran","iran","False","False","high","iran:3"
"Bank of India","FernUniversitat in Hagen","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course","1200","FernUniversitat in Hagen","United States of America","fernuniversitat in hagen","united states of america","united states of america","False","False","high","united states of america:1"
"Bank of India","Financial University under the Government of the Russian Federation","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course","1201","Financial University under the Government of the Russian Federation","United States of America","financial university under the government of the russian federation","united states of america","united states of america","False","False","high","united states of america:1"
"Bank of India","Firat University","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course","1202","Firat University","United States of America","firat university","united states of america","united states of america","False","False","high","united states of america:1"
"Mpower","Fitchburg State University","United States of America","Listed","https://www.mpowerfinancing.com/get-a-loan/schools-we-support#schools","Healthcare & MBA (Within 2 yrs of UG); STEM","1203","Fitchburg State University","United States of America","fitchburg state university","united states of america","united states of america","False","False","high","united states of america:1"
"Bank of India","Flinders University","Australia","Top 1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","1204","Flinders University","Australia","flinders university","australia","australia","False","False","high","australia:3"
"Indian Overseas Bank","Flinders University","Australia","Top 300+ as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","1205","Flinders University","Australia","flinders university","australia","australia","False","False","high","australia:3"
"Yes Bank","Flinders University","Australia","Top 300-500 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","1206","Flinders University","Australia","flinders university","australia","australia","False","False","high","australia:3"
"Prodigy","Florida A&M University","United States of America","Listed","https://prodigyfinance.com/where-can-i-study/","Computer Science & IT; Engineering & Technology; Medicine & Health; Natural Sciences","1207","Florida A&M University","United States of America","florida a and m university","united states of america","united states of america","False","False","high","united states of america:1"
"Bank of India","Florida Agricultural & Mechanical University","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course","1208","Florida Agricultural & Mechanical University","United States of America","florida agricultural and mechanical university","united states of america","united states of america","False","False","high","united states of america:1"
"Bank of India","Florida Atlantic University","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course","1209","Florida Atlantic University","United States of America","florida atlantic university","united states of america","united states of america","False","False","high","united states of america:4"
"Leapfinance","Florida Atlantic University","United States of America","Listed","https://leapfinance.com/courses","Any course","1210","Florida Atlantic University","United States of America","florida atlantic university","united states of america","united states of america","False","False","high","united states of america:4"
"Mpower","Florida Atlantic University","United States of America","Listed","https://www.mpowerfinancing.com/get-a-loan/schools-we-support#schools","Healthcare & MBA (Within 2 yrs of UG); STEM","1211","Florida Atlantic University","United States of America","florida atlantic university","united states of america","united states of america","False","False","high","united states of america:4"
"Prodigy","Florida Atlantic University","United States of America","Listed","https://prodigyfinance.com/where-can-i-study/","Business & Management; Computer Science & IT; Engineering & Technology","1212","Florida Atlantic University","United States of America","florida atlantic university","united states of america","united states of america","False","False","high","united states of america:4"
