"Lender name","University","Country / Main Campus","Criteria","Source","Courses"
"Yes Bank","Aarhus University","Denmark","Top 75-300 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Bank of India","Abant Izzet Baysal University","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Bank of India","Abdullah Gul University Kayseri","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Bank of India","Aberystwyth University","United Kingdom","Top 1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Indian Overseas Bank","Aberystwyth University","United Kingdom","Top 300+ as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Yes Bank","Aberystwyth University","United Kingdom","Top 500 -1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Bank of India","Abilene Christian University","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Bank of India","Abo Akademi University","Finland","Top 1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Indian Overseas Bank","Abo Akademi University","Finland","Top 300+ as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Yes Bank","Abo Akademi University","Finland","Top 500 -1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Bank of India","Abu Dhabi University","United Arab Emirates","Top 1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Indian Overseas Bank","Abu Dhabi University","United Arab Emirates","Top 300+ as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Yes Bank","Abu Dhabi University","United Arab Emirates","Top 300-500 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Bank of India","Abylkas Saginov Karaganda Technical University","Kazakhstan","Top 1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Indian Overseas Bank","Abylkas Saginov Karaganda Technical University","Kazakhstan","Top 300+ as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Yes Bank","Abylkas Saginov Karaganda Technical University","Kazakhstan","Top 500 -1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Bank of India","Acadia University","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Bank of India","Acibadem University","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Bank of India","Adam Mickiewicz University","Poland","Top 1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Indian Overseas Bank","Adam Mickiewicz University","Poland","Top 300+ as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Yes Bank","Adam Mickiewicz University","Poland","Top 500 -1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Bank of India","Adam Mickiewicz University","Poland","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Bank of India","Addis Ababa University","Ethiopia","Top 1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Indian Overseas Bank","Addis Ababa University","Ethiopia","Top 300+ as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Yes Bank","Addis Ababa University","Ethiopia","Top 500 -1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Bank of India","Adelphi University","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Mpower","Adelphi University","United States of America","Listed","https://www.mpowerfinancing.com/get-a-loan/schools-we-support#schools","Healthcare & MBA (Within 2 yrs of UG); STEM"
"Bank of India","Adiyaman University","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Bank of India","Adnan Menderes University","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Bank of India","Afyon Kocatepe University","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Bank of India","Aga Khan University","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Bank of India","AGH University of Krakow","Poland","Top 1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Indian Overseas Bank","AGH University of Krakow","Poland","Top 300+ as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Yes Bank","AGH University of Krakow","Poland","Top 500 -1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Bank of India","AGH University of Krakow","Poland","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Bank of India","Agri Mountain University","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Bank of India","Agricultural University of Athens","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Bank of India","Agricultural University of Krakow","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Bank of India","AgroParisTech","France","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Bank of India","Ahi Evran University","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Bank of India","Ahlia University","Bahrain","Top 1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Indian Overseas Bank","Ahlia University","Bahrain","Top 300+ as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Yes Bank","Ahlia University","Bahrain","Top 500 -1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Bank of India","Ahmadu Bello University","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Bank of India","Ahvaz Jundishapur University of Medical Sciences","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Bank of India","Aichi Medical University","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Bank of India","Ain Shams University","Egypt","Top 1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Indian Overseas Bank","Ain Shams University","Egypt","Top 300+ as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Yes Bank","Ain Shams University","Egypt","Top 500 -1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Bank of India","Air University Islamabad","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Bank of India","Aix-Marseille University","France","Top 1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Indian Overseas Bank","Aix-Marseille University","France","Top 300+ as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Yes Bank","Aix-Marseille University","France","Top 300-500 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Bank of India","Ajman University","United Arab Emirates","Top 1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Indian Overseas Bank","Ajman University","United Arab Emirates","Top 300+ as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Yes Bank","Ajman University","United Arab Emirates","Top 300-500 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Bank of India","Ajou University","South Korea","Top 1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Indian Overseas Bank","Ajou University","South Korea","Top 300+ as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Yes Bank","Ajou University","South Korea","Top 500 -1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Bank of India","Akdeniz University","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Bank of India","Akita University","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Bank of India","Aksaray University","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Bank of India","Al-Ahliyya Amman University","Jordan","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Bank of India","Al Ain University","United Arab Emirates","Top 1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Indian Overseas Bank","Al Ain University","United Arab Emirates","Top 300+ as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Yes Bank","Al Ain University","United Arab Emirates","Top 500 -1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Bank of India","Al Azhar University","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Bank of India","Al Baha University","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Bank of India","Al Balqa Applied University","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Bank of India","Al Furat Al Awsat Technical University","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Bank of India","Al Imam Muhammad Ibn Saud Islamic University","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Bank of India","Al Jouf University","Saudi Arabia","Top 1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Indian Overseas Bank","Al Jouf University","Saudi Arabia","Top 300+ as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Yes Bank","Al Jouf University","Saudi Arabia","Top 500 -1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Bank of India","Al Nahrain University","Iraq","Top 1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Indian Overseas Bank","Al Nahrain University","Iraq","Top 300+ as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Yes Bank","Al Nahrain University","Iraq","Top 500 -1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Bank of India","Al Quds University Arab University in Jerusalem","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Bank of India","Al-Ahliyya Amman University","Jordan","Top 1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Indian Overseas Bank","Al-Ahliyya Amman University","Jordan","Top 300+ as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Yes Bank","Al-Ahliyya Amman University","Jordan","Top 500 -1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Bank of India","Al-Farabi Kazakh National University","Kazakhstan","Top 1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Indian Overseas Bank","Al-Farabi Kazakh National University","Kazakhstan","Top 50 to 200 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Yes Bank","Al-Farabi Kazakh National University","Kazakhstan","Top 75-300 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Bank of India","Al-Quds University","Palestine","Top 1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Indian Overseas Bank","Al-Quds University","Palestine","Top 300+ as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Yes Bank","Al-Quds University","Palestine","Top 500 -1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Bank of India","Alabama A&M University","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Bank of India","Alagappa University","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Mpower","Albany College of Pharmacy and Health Sciences","United States of America","Listed","https://www.mpowerfinancing.com/get-a-loan/schools-we-support#schools","Healthcare & MBA (Within 2 yrs of UG); STEM"
"Bank of India","Albany Medical College","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Mpower","Albany Medical College","United States of America","Listed","https://www.mpowerfinancing.com/get-a-loan/schools-we-support#schools","Healthcare & MBA (Within 2 yrs of UG); STEM"
"Bank of India","Albert Einstein College of Medicine","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Bank of India","Alexandria University","Egypt","Top 1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Indian Overseas Bank","Alexandria University","Egypt","Top 300+ as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Yes Bank","Alexandria University","Egypt","Top 500 -1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Bank of India","Alexandru Ioan Cuza University","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Bank of India","Alfaisal University","Saudi Arabia","Top 1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Indian Overseas Bank","Alfaisal University","Saudi Arabia","Top 300+ as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Yes Bank","Alfaisal University","Saudi Arabia","Top 500 -1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Leapfinance","Alfred University","United States of America","Listed","https://leapfinance.com/courses","Any course"
"Bank of India","Aligarh Muslim University","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Bank of India","All India Institute of Medical Sciences AIIMS","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Bank of India","Allama Iqbal Open University","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Mpower","Allen College","United States of America","Listed","https://www.mpowerfinancing.com/get-a-loan/schools-we-support#schools","Healthcare & MBA (Within 2 yrs of UG); STEM"
"Bank of Baroda","Alma Mater Studiorum - University of Bologna","Italy","Listed","As per bank list - https://bankofbaroda.bank.in/personal-banking/loans/education-loan/-/media/Project/BOB/CountryWebsites/India/pdfs2/2023/23-12/STEM-Courses-new.pdf","STEM"
"Bank of India","Alma Mater Studiorum - University of Bologna","Italy","Top 1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Indian Overseas Bank","Alma Mater Studiorum - University of Bologna","Italy","Top 50 to 200 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Yes Bank","Alma Mater Studiorum - University of Bologna","Italy","Top 75-300 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Bank of India","Almaarefa University","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Bank of India","Alpen Adria Universitat Klagenfurt","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Bank of India","Altai State University","Russian Federation","Top 1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Indian Overseas Bank","Altai State University","Russian Federation","Top 300+ as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Yes Bank","Altai State University","Russian Federation","Top 500 -1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Bank of India","Alzahra University (Azzahra University)","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Bank of India","American College of Greece (Deree College","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Bank of India","American University","United States of America","Top 1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Indian Overseas Bank","American University","United States of America","Top 300+ as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Mpower","American University","United States of America","Listed","https://www.mpowerfinancing.com/get-a-loan/schools-we-support#schools","Healthcare & MBA (Within 2 yrs of UG); STEM"
"Prodigy","American University","United States of America","Listed","https://prodigyfinance.com/where-can-i-study/","Business & Management"
"Yes Bank","American University","United States of America","Top 500 -1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Bank of India","American University in Cairo","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Bank of India","American University in Dubai","United Arab Emirates","Top 1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Indian Overseas Bank","American University in Dubai","United Arab Emirates","Top 300+ as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Yes Bank","American University in Dubai","United Arab Emirates","Top 500 -1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Mpower","American University of Antigua (AUA) College of Medicine","Antigua And Barbuda","Listed","https://www.mpowerfinancing.com/get-a-loan/schools-we-support#schools","Healthcare & MBA (Within 2 yrs of UG); STEM"
"Bank of India","American University of Beirut (AUB)","Lebanon","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Bank of India","American University of Beirut (AUB)","Lebanon","Top 1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Indian Overseas Bank","American University of Beirut (AUB)","Lebanon","Top 200 to 300 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Yes Bank","American University of Beirut (AUB)","Lebanon","Top 75-300 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Bank of India","American University of Central Asia","Kyrgyzstan","Top 1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Indian Overseas Bank","American University of Central Asia","Kyrgyzstan","Top 300+ as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Yes Bank","American University of Central Asia","Kyrgyzstan","Top 500 -1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Bank of India","American University of Ras Al Khaimah ( AURAK )","United Arab Emirates","Top 1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Indian Overseas Bank","American University of Ras Al Khaimah ( AURAK )","United Arab Emirates","Top 300+ as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Yes Bank","American University of Ras Al Khaimah ( AURAK )","United Arab Emirates","Top 500 -1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Bank of India","American University of Sharjah","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Bank of India","American University of Sharjah (AUS)","United Arab Emirates","Top 1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Indian Overseas Bank","American University of Sharjah (AUS)","United Arab Emirates","Top 200 to 300 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Yes Bank","American University of Sharjah (AUS)","United Arab Emirates","Top 75-300 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Bank of India","American University of the Middle East","Kuwait","Top 1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Indian Overseas Bank","American University of the Middle East","Kuwait","Top 300+ as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Yes Bank","American University of the Middle East","Kuwait","Top 500 -1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Bank of India","American University Washington DC","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Bank of India","Amherst College","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Mpower","Amherst College","United States of America","Listed","https://www.mpowerfinancing.com/get-a-loan/schools-we-support#schools","Healthcare & MBA (Within 2 yrs of UG); STEM"
"Bank of India","Amirkabir University of Technology","Iran","Top 1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Indian Overseas Bank","Amirkabir University of Technology","Iran","Top 300+ as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Yes Bank","Amirkabir University of Technology","Iran","Top 300-500 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Bank of India","Amity University","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Bank of India","Amman Arab University","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Bank of India","Amrita University","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Bank of India","An Najah National University","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Bank of India","Andhra University Visakhapatnam","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Bank of India","Andrews University","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Mpower","Andrews University","United States of America","Listed","https://www.mpowerfinancing.com/get-a-loan/schools-we-support#schools","Healthcare & MBA (Within 2 yrs of UG); STEM"
"Bank of India","Anhui Agricultural University","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Bank of India","Anhui Medical University","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Bank of India","Anhui Normal University","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Bank of India","Anhui Polytechnic University (Anhui University of Technology & Science)","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Bank of India","Anhui University","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Bank of India","Anhui University of Finance & Economics","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Bank of India","Anhui University of Science & Technology","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Bank of India","Anhui University of Technology","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Bank of India","Ankara Universitesi","Turkiye","Top 1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Indian Overseas Bank","Ankara Universitesi","Turkiye","Top 300+ as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Yes Bank","Ankara Universitesi","Turkiye","Top 500 -1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Bank of India","Ankara University","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Bank of India","Anna University","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Bank of India","Annamalai University","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Bank of India","Aoyama Gakuin University","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Bank of India","Appalachian State University","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Mpower","Appalachian State University","United States of America","Listed","https://www.mpowerfinancing.com/get-a-loan/schools-we-support#schools","Healthcare & MBA (Within 2 yrs of UG); STEM"
"Bank of India","Applied Science Private University - Jordan","Jordan","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Bank of India","Applied Science Private University - Jordan","Jordan","Top 1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Indian Overseas Bank","Applied Science Private University - Jordan","Jordan","Top 300+ as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Yes Bank","Applied Science Private University - Jordan","Jordan","Top 500 -1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Bank of India","Applied Science University - Bahrain","Bahrain","Top 1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Indian Overseas Bank","Applied Science University - Bahrain","Bahrain","Top 300+ as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Yes Bank","Applied Science University - Bahrain","Bahrain","Top 500 -1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Bank of India","Arab Academy for Science & Technology and Maritime Transport","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Bank of India","Arak University of Medical Sciences","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Bank of India","Arak University of Medical Sciences","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Mpower","Arcadia University","United States of America","Listed","https://www.mpowerfinancing.com/get-a-loan/schools-we-support#schools","Healthcare & MBA (Within 2 yrs of UG); STEM"
"Bank of India","Ardabil University of Medical Sciences","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Bank of India","Ariel University","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"Bank of India","Aristotle University of Thessaloniki","Greece","Top 1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Indian Overseas Bank","Aristotle University of Thessaloniki","Greece","Top 300+ as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Yes Bank","Aristotle University of Thessaloniki","Greece","Top 300-500 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Bank of Baroda","Arizona State University","United States of America","Listed","As per bank list - https://bankofbaroda.bank.in/personal-banking/loans/education-loan/-/media/Project/BOB/CountryWebsites/India/pdfs/management-course-new.pdf","Management; STEM"
"Bank of India","Arizona State University","United States of America","Top 1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Indian Overseas Bank","Arizona State University","United States of America","Top 50 to 200 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Leapfinance","Arizona State University","United States of America","Listed","https://leapfinance.com/courses","Any course"
"Mpower","Arizona State University","United States of America","Listed","https://www.mpowerfinancing.com/get-a-loan/schools-we-support#schools","Healthcare & MBA (Within 2 yrs of UG); STEM"
"Prodigy","Arizona State University","United States of America","Listed","https://prodigyfinance.com/where-can-i-study/","Business & Management; Computer Science & IT; Engineering & Technology; Medicine & Health; Natural Sciences; Social Sciences"
"Union Bank of India","Arizona State University","United States of America","Category A","As per bank list - https://www.unionbankofindia.bank.in/en/details/special-union-education-loan-schemes-for-premier-institute-abroad-studies","Art; Design; Economics & Econometrics; Law; Performing Arts; STEM; and Management"
"Yes Bank","Arizona State University","United States of America","Top 75-300 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course"
"Mpower","Arizona State University- Downtown Phoenix","United States of America","Listed","https://www.mpowerfinancing.com/get-a-loan/schools-we-support#schools","Healthcare & MBA (Within 2 yrs of UG); STEM"
