"RowNumber","Lender","University","UniversityNorm","CurrentCountry","CurrentCountryNorm","ExpectedCountryNorm","ExpectedSupportRows","Criteria","Source","Courses"
"1606","Bank of India","Humboldt Universitat zu Berlin","humboldt universitat zu berlin","United States of America","united states of america","germany","7","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"1815","Bank of India","ISCTE Instituto Universitario de Lisboa","iscte instituto universitario de lisboa","United States of America","united states of america","portugal","3","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"1874","Bank of India","Jeonbuk National University","jeonbuk national university","United States of America","united states of america","south korea","3","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"1937","Bank of India","Justus Liebig Universitat Giessen","justus liebig universitat giessen","United States of America","united states of america","germany","3","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"1973","Bank of India","Karl Franzens Universitat Graz","karl franzens universitat graz","United States of America","united states of america","austria","3","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"2349","Bank of India","Macau University of Science & Technology","macau university of science and technology","United States of America","united states of america","china","3","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"2394","Bank of India","Martin Luther Universitat Halle Wittenberg","martin luther universitat halle wittenberg","United States of America","united states of america","germany","3","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"2686","Bank of India","National Sun Yat Sen University","national sun yat sen university","United States of America","united states of america","taiwan","3","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"2744","Bank of India","National Yang Ming Chiao Tung University‎","national yang ming chiao tung university","United States of America","united states of america","taiwan","3","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"2829","Bank of India","North West University","north west university","United States of America","united states of america","south africa","3","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"2891","Bank of India","Norwegian University of Science & Technology","norwegian university of science and technology","United States of America","united states of america","norway","4","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"3046","Bank of India","Philipps Universitat Marburg","philipps universitat marburg","United States of America","united states of america","germany","3","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"3107","Bank of India","Pontificia Universidade Catolica do Rio de Janeiro PUC-RIO","pontificia universidade catolica do rio de janeiro puc rio","United States of America","united states of america","brazil","3","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"3125","Bank of India","Prince Sattam bin Abdulaziz University","prince sattam bin abdulaziz university","United States of America","united states of america","saudi arabia","3","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"3131","Bank of India","Princess Nourah Bint Abdulrahman University","princess nourah bint abdulrahman university","United States of America","united states of america","saudi arabia","3","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"3253","Bank of India","Rheinische Friedrich Wilhelms Universitat Bonn","rheinische friedrich wilhelms universitat bonn","United States of America","united states of america","germany","3","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"3323","Bank of India","Ruhr Universitat Bochum","ruhr universitat bochum","United States of America","united states of america","germany","3","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"3581","Bank of India","Sofia University St Kliment Ohridski","sofia university st kliment ohridski","United States of America","united states of america","bulgaria","3","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"3827","Bank of India","Technion Israel Institute of Technology","technion israel institute of technology","United States of America","united states of america","israel","4","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"4081","Bank of India","Umm Al Qura University","umm al qura university","United States of America","united states of america","saudi arabia","3","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"4205","Bank of India","Universidad de la Sabana","universidad de la sabana","United States of America","united states of america","colombia","3","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"4219","Bank of India","Universidad de los Andes Colombia","universidad de los andes colombia","United States of America","united states of america","colombia","3","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"4374","Bank of India","Universidade de Brasilia UNB","universidade de brasilia unb","United States of America","united states of america","brazil","3","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"4406","Bank of India","Universidade Estadual de Campinas UNICAMP","universidade estadual de campinas unicamp","United States of America","united states of america","brazil","3","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"4446","Bank of India","Universidade Federal de Sao Paulo UNIFESP","universidade federal de sao paulo unifesp","United States of America","united states of america","brazil","3","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"4512","Bank of India","Universita Vita Salute San Raffaele","universita vita salute san raffaele","United States of America","united states of america","italy","3","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"4531","Bank of India","Universitas Indonesia","universitas indonesia","United States of America","united states of america","indonesia","3","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"4592","Bank of India","Universitat Duisburg Essen","universitat duisburg essen","United States of America","united states of america","germany","3","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"4862","Bank of India","University of Agriculture Faisalabad","university of agriculture faisalabad","United States of America","united states of america","pakistan","3","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"5147","Bank of India","University of Chemistry and Technology Prague","university of chemistry and technology prague","United States of America","united states of america","czechia","3","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"5281","Bank of India","University of Electronic Science & Technology of China","university of electronic science and technology of china","United States of America","united states of america","china","3","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"5526","Bank of India","University of Kwazulu Natal","university of kwazulu natal","United States of America","united states of america","south africa","3","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"5720","Bank of India","University of Milano Bicocca","university of milano bicocca","United States of America","united states of america","italy","3","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"5824","Bank of India","University of New England Australia","university of new england australia","United States of America","united states of america","australia","1","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"5847","Bank of India","University of Newcastle","university of newcastle","United Kingdom","united kingdom","australia","4","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"6070","Bank of India","University of Roma Tor Vergata","university of roma tor vergata","United States of America","united states of america","italy","3","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"6351","Bank of India","University of the Witwatersrand","university of the witwatersrand","United States of America","united states of america","south africa","3","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"6662","Bank of India","Vietnam National University Hanoi","vietnam national university hanoi","United States of America","united states of america","vietnam","3","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"6847","Bank of India","XiAn Jiaotong University","xian jiaotong university","United States of America","united states of america","china","4","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"6791","Mpower","Western University - University of Western Ontario","western university university of western ontario","Canada","canada","united states of america","1","Listed","https://www.mpowerfinancing.com/get-a-loan/schools-we-support#schools","Healthcare & MBA (Within 2 yrs of UG); STEM"
"2844","Prodigy","Northeastern University","northeastern university","Canada","canada","united states of america","8","Listed","https://prodigyfinance.com/where-can-i-study/","Business & Management; Computer Science & IT; Engineering & Technology; Medicine & Health; Natural Sciences; Public Policy; Social Sciences"
"5555","Union Bank of India","University of Leicester","university of leicester","England","england","united kingdom","5","Category B","As per bank list - https://www.unionbankofindia.bank.in/en/details/special-union-education-loan-schemes-for-premier-institute-abroad-studies","MANAGEMENT; STEM"
