"UniversityNorm","CanonicalUniversity","VariantsCount","TotalRows","Variants"
"university of sussex","University of Sussex","5","5","University of Sussex:5"
"prince sattam bin abdulaziz university","Prince Sattam Bin Abdulaziz University","4","4","Prince Sattam Bin Abdulaziz University:4"
"university of kent","University of Kent","4","4","University of Kent:4"
"university of geneva","University of Geneva","4","4","University of Geneva:4"
"princess nourah bint abdulrahman university","Princess Nourah Bint Abdulrahman University","4","4","Princess Nourah Bint Abdulrahman University:4"
"university of east anglia","University of East Anglia","4","4","University of East Anglia:4"
"sungkyunkwan university","Sungkyunkwan University","4","4","Sungkyunkwan University:4"
"technische universitat berlin","Technische Universitat Berlin","4","4","Technische Universitat Berlin:4"
"university of milan","University of Milan","4","4","University of Milan:4"
"university of new brunswick","University of New Brunswick","4","4","University of New Brunswick:4"
"seoul national university","Seoul National University","4","4","Seoul National University:4"
"san diego state university","San Diego State University","4","4","San Diego State University:4"
"stockholm university","Stockholm University","4","4","Stockholm University:4"
"swansea university","Swansea University","4","4","Swansea University:4"
"technical university of denmark","Technical University of Denmark","4","4","Technical University of Denmark:4"
"university of essex","University of Essex","4","4","University of Essex:4"
"university of navarra","University of Navarra","4","4","University of Navarra:4"
"depaul university","DePaul University","4","4","DePaul University:4"
"charles sturt university","Charles Sturt University","4","4","Charles Sturt University:4"
"curtin university","Curtin University","4","4","Curtin University:4"
"university of gothenburg","University of Gothenburg","4","4","University of Gothenburg:4"
"harbin institute of technology","Harbin Institute of Technology","4","4","Harbin Institute of Technology:4"
"royal holloway university of london","Royal Holloway University of London","4","4","Royal Holloway University of London:4"
"technische universitat darmstadt","Technische Universitat Darmstadt","4","4","Technische Universitat Darmstadt:4"
"czech technical university in prague","Czech Technical University In Prague","4","4","Czech Technical University In Prague:4"
"saint louis university","Saint Louis University","4","4","Saint Louis University:4"
"university of lisbon","University of Lisbon","4","4","University of Lisbon:4"
"university of canberra","University of Canberra","4","4","University of Canberra:4"
"institut polytechnique de paris","Institut Polytechnique de Paris","4","4","Institut Polytechnique de Paris:4"
"swinburne university of technology","Swinburne University of Technology","4","4","Swinburne University of Technology:4"
"korea university","Korea University","4","4","Korea University:4"
"lomonosov moscow state university","Lomonosov Moscow State University","4","4","Lomonosov Moscow State University:4"
"linkoping university","Linkoping University","4","4","Linkoping University:4"
"national taiwan university","National Taiwan University","4","4","National Taiwan University:4"
"university of the witwatersrand","University of The Witwatersrand","4","4","University of The Witwatersrand:4"
"university of tulsa","University of Tulsa","4","4","University of Tulsa:4"
"national cheng kung university ncku","National Cheng Kung University (NCKU)","4","4","National Cheng Kung University (NCKU):4"
"florida atlantic university","Florida Atlantic University","4","4","Florida Atlantic University:4"
"london business school","London Business School","4","4","London Business School:4"
"western sydney university","Western Sydney University","4","4","Western Sydney University:4"
"baylor university","Baylor University","4","4","Baylor University:4"
"universidad autonoma de madrid","Universidad Autonoma de Madrid","4","4","Universidad Autonoma de Madrid:4"
"national yang ming chiao tung university","National Yang Ming Chiao Tung University","4","4","National Yang Ming Chiao Tung University:4"
