"UniversityNorm","CanonicalUniversity","VariantsCount","TotalRows","Variants"
"university babes bolyai","University Babes Bolyai","1","1","University Babes Bolyai:1"
"university autonoma de barcelona","University Autonoma de Barcelona","1","1","University Autonoma de Barcelona:1"
"university catholique de louvain","University Catholique de Louvain","1","1","University Catholique de Louvain:1"
"university cadi ayyad marrakech","University Cadi Ayyad Marrakech","1","1","University Cadi Ayyad Marrakech:1"
"university davignon","University dAvignon","1","1","University dAvignon:1"
"university dartois","University dArtois","1","1","University dArtois:1"
"university del oued hamma lakhdar","University dEl Oued Hamma Lakhdar","1","1","University dEl Oued Hamma Lakhdar:1"
"university degli studi di torino","University degli Studi di Torino","1","1","University degli Studi di Torino:1"
"university dangers","University dAngers","1","1","University dAngers:1"
"egerton university","Egerton University","1","1","Egerton University:1"
"egypt japan university of science and technology","Egypt Japan University of Science & Technology","1","1","Egypt Japan University of Science & Technology:1"
"university daix marseille","University dAix Marseille","1","1","University dAix Marseille:1"
"university cote dazur university cote dazur","University Cote dAzur (University Cote dAzur)","1","1","University Cote dAzur (University Cote dAzur):1"
"florida a and m university","Florida A&M University","1","1","Florida A&M University:1"
"universitat de lleida","Universitat de Lleida","1","1","Universitat de Lleida:1"
"universitat der bundeswehr munchen","Universitat der Bundeswehr Munchen","1","1","Universitat der Bundeswehr Munchen:1"
"universitat de vic universitat central de catalunya","Universitat de Vic Universitat Central de Catalunya","1","1","Universitat de Vic Universitat Central de Catalunya:1"
"universitat de les illes balears","Universitat de les Illes Balears","1","1","Universitat de les Illes Balears:1"
"florida agricultural and mechanical university","Florida Agricultural & Mechanical University","1","1","Florida Agricultural & Mechanical University:1"
"universitat bielefeld","Universitat Bielefeld","1","1","Universitat Bielefeld:1"
"universitat de girona","Universitat de Girona","1","1","Universitat de Girona:1"
"universitat dalacant","Universitat dAlacant","1","1","Universitat dAlacant:1"
"universitat fur bodenkultur wien","Universitat fur Bodenkultur Wien","1","1","Universitat fur Bodenkultur Wien:1"
"feng chia university","Feng Chia University","1","1","Feng Chia University:1"
"universitat hannover","Universitat Hannover","1","1","Universitat Hannover:1"
"federation university australia","Federation University Australia","1","1","Federation University Australia:1"
"fernuniversitat in hagen","FernUniversitat in Hagen","1","1","FernUniversitat in Hagen:1"
"firat university","Firat University","1","1","Firat University:1"
"fitchburg state university","Fitchburg State University","1","1","Fitchburg State University:1"
"universitat erfurt","Universitat Erfurt","1","1","Universitat Erfurt:1"
"financial university under the government of the russian federation","Financial University under the Government of the Russian Federation","1","1","Financial University under the Government of the Russian Federation:1"
"universitas sebelas maret uns surakarta","Universitas Sebelas Maret UNS Surakarta","1","1","Universitas Sebelas Maret UNS Surakarta:1"
"universitas sam ratulangi","Universitas Sam Ratulangi","1","1","Universitas Sam Ratulangi:1"
"universitas sultan ageng tirtayasa","Universitas Sultan Ageng Tirtayasa","1","1","Universitas Sultan Ageng Tirtayasa:1"
"universitas sriwijaya","Universitas Sriwijaya","1","1","Universitas Sriwijaya:1"
"universitas riau","Universitas Riau","1","1","Universitas Riau:1"
"universitas pelita harapan","Universitas Pelita Harapan","1","1","Universitas Pelita Harapan:1"
"universitas padjadjaran bandung","Universitas Padjadjaran Bandung","1","1","Universitas Padjadjaran Bandung:1"
"universitas pendidikan indonesia","Universitas Pendidikan Indonesia","1","1","Universitas Pendidikan Indonesia:1"
"universitas pendidikan ganesha","Universitas Pendidikan Ganesha","1","1","Universitas Pendidikan Ganesha:1"
"universitat basel","Universitat Basel","1","1","Universitat Basel:1"
"florida polytechnic university","Florida Polytechnic University","1","1","Florida Polytechnic University:1"
"universitat bern","Universitat Bern","1","1","Universitat Bern:1"
"florida gulf coast university","Florida Gulf Coast University","1","1","Florida Gulf Coast University:1"
"universitat augsburg","Universitat Augsburg","1","1","Universitat Augsburg:1"
"universitas syiah kuala","Universitas Syiah Kuala","1","1","Universitas Syiah Kuala:1"
"universitas sumatera utara","Universitas Sumatera Utara","1","1","Universitas Sumatera Utara:1"
"universitas udayana","Universitas Udayana","1","1","Universitas Udayana:1"
"universitas tadulako","Universitas Tadulako","1","1","Universitas Tadulako:1"
"universitat hildesheim","Universitat Hildesheim","1","1","Universitat Hildesheim:1"
"universitat rovira i virgili","Universitat Rovira i Virgili","1","1","Universitat Rovira i Virgili:1"
"european university cyprus","European University Cyprus","1","1","European University Cyprus:1"
"universitat siegen","Universitat Siegen","1","1","Universitat Siegen:1"
"universitat saint gallen","Universitat Saint Gallen","1","1","Universitat Saint Gallen:1"
"european university institute","European University Institute","1","1","European University Institute:1"
"fachhochschule munster","Fachhochschule Munster","1","1","Fachhochschule Munster:1"
"fachhochschule nordwestschweiz","Fachhochschule Nordwestschweiz","1","1","Fachhochschule Nordwestschweiz:1"
"universitat ramon llull esade business school barcelona","Universitat Ramon Llull ESADE Business School Barcelona","1","1","Universitat Ramon Llull ESADE Business School Barcelona:1"
"ewha womens university","Ewha Womens University","1","1","Ewha Womens University:1"
"universitat wurzburg","Universitat Wurzburg","1","1","Universitat Wurzburg:1"
"universitat witten herdecke","Universitat Witten Herdecke","1","1","Universitat Witten Herdecke:1"
"universitat zu lubeck","Universitat zu Lubeck","1","1","Universitat zu Lubeck:1"
"estonian university of life sciences","Estonian University of Life Sciences","1","1","Estonian University of Life Sciences:1"
"universitat wien","Universitat Wien","1","1","Universitat Wien:1"
"universitat trier","Universitat Trier","1","1","Universitat Trier:1"
"europa universitat viadrina frankfurt oder","Europa Universitat Viadrina Frankfurt Oder","1","1","Europa Universitat Viadrina Frankfurt Oder:1"
"eth zurich swiss federal institute of technology","ETH Zurich - Swiss Federal Institute of Technology","1","1","ETH Zurich - Swiss Federal Institute of Technology:1"
"universitat tubingen","Universitat Tubingen","1","1","Universitat Tubingen:1"
"fayoum university","Fayoum University","1","1","Fayoum University:1"
"universitat kassel","Universitat Kassel","1","1","Universitat Kassel:1"
"universitat luzern","Universitat Luzern","1","1","Universitat Luzern:1"
"fayetteville state university","Fayetteville State University","1","1","Fayetteville State University:1"
"federal university of agriculture abeokuta","Federal University of Agriculture Abeokuta","1","1","Federal University of Agriculture Abeokuta:1"
"federal university of technology akure","Federal University of Technology Akure","1","1","Federal University of Technology Akure:1"
"federal university of technology minna","Federal University of Technology Minna","1","1","Federal University of Technology Minna:1"
"universitat jaume i","Universitat Jaume I","1","1","Universitat Jaume I:1"
"universitat internacional de catalunya","Universitat Internacional de Catalunya","1","1","Universitat Internacional de Catalunya:1"
"universitat passau","Universitat Passau","1","1","Universitat Passau:1"
"universitat paderborn","Universitat Paderborn","1","1","Universitat Paderborn:1"
"fachhochschule oberosterreich","Fachhochschule Oberosterreich","1","1","Fachhochschule Oberosterreich:1"
"universitat politecnica de catalunya barcelonatech","Universitat Politecnica de Catalunya BarcelonaTech","1","1","Universitat Politecnica de Catalunya BarcelonaTech:1"
"universitat otto friedrich universitat bamberg","Universitat Otto Friedrich Universitat Bamberg","1","1","Universitat Otto Friedrich Universitat Bamberg:1"
"universitat munster","Universitat Munster","1","1","Universitat Munster:1"
"fairleigh dickinson university","Fairleigh Dickinson University","1","1","Fairleigh Dickinson University:1"
"universitat osnabruck","Universitat Osnabruck","1","1","Universitat Osnabruck:1"
"universitat oberta de catalunya","Universitat Oberta de Catalunya","1","1","Universitat Oberta de Catalunya:1"
"chongqing university of technology","Chongqing University of Technology","1","1","Chongqing University of Technology:1"
"university of yamanashi","University of Yamanashi","1","1","University of Yamanashi:1"
"ariel university","Ariel University","1","1","Ariel University:1"
"university of zadar","University of Zadar","1","1","University of Zadar:1"
"ardabil university of medical sciences","Ardabil University of Medical Sciences","1","1","Ardabil University of Medical Sciences:1"
"university of wuppertal","University of Wuppertal","1","1","University of Wuppertal:1"
"arizona state university polytechnic","Arizona State University- Polytechnic","1","1","Arizona State University- Polytechnic:1"
"university of wisconsin ilwaukee","University of Wisconsin, ilwaukee","1","1","University of Wisconsin, ilwaukee:1"
"arizona state university downtown phoenix","Arizona State University- Downtown Phoenix","1","1","Arizona State University- Downtown Phoenix:1"
"university of wolverhampton","University of Wolverhampton","1","1","University of Wolverhampton:1"
"university of zululand","University of Zululand","1","1","University of Zululand:1"
"university of zimbabwe","University of Zimbabwe","1","1","University of Zimbabwe:1"
"university paris dauphine","University Paris Dauphine","1","1","University Paris Dauphine:1"
"arab academy for science and technology and maritime transport","Arab Academy for Science & Technology and Maritime Transport","1","1","Arab Academy for Science & Technology and Maritime Transport:1"
"university of zilina","University of Zilina","1","1","University of Zilina:1"
"university of zambia","University of Zambia","1","1","University of Zambia:1"
"arcadia university","Arcadia University","1","1","Arcadia University:1"
"university of zielona gora","University of Zielona Gora","1","1","University of Zielona Gora:1"
"university of zanjan","University of Zanjan","1","1","University of Zanjan:1"
"university of western macedonia","University of Western Macedonia","1","1","University of Western Macedonia:1"
"aru anglia ruskin university","ARU Anglia Ruskin University","1","1","ARU Anglia Ruskin University:1"
"university of winchester","University of Winchester","1","1","University of Winchester:1"
"arts et metiers paristech","Arts et Metiers ParisTech","1","1","Arts et Metiers ParisTech:1"
"university of west london thames valley university","University of West London (Thames Valley University)","1","1","University of West London (Thames Valley University):1"
"university of west bohemia","University of West Bohemia","1","1","University of West Bohemia:1"
"university of west attica","University of West Attica","1","1","University of West Attica:1"
"university of west georgia","University of West Georgia","1","1","University of West Georgia:1"
"asian institute of technology thailand","Asian Institute of Technology Thailand","1","1","Asian Institute of Technology Thailand:1"
"university of wisconsin stevens point","University of Wisconsin Stevens Point","1","1","University of Wisconsin Stevens Point:1"
"university of wisconsin oshkosh","University of Wisconsin Oshkosh","1","1","University of Wisconsin Oshkosh:1"
"arizona state university skysong","Arizona State University- Skysong","1","1","Arizona State University- Skysong:1"
"university of wisconsin whitewater","University of Wisconsin Whitewater","1","1","University of Wisconsin Whitewater:1"
"arizona state university west","Arizona State University- West","1","1","Arizona State University- West:1"
"university of wisconsin eau claire","University of Wisconsin Eau Claire","1","1","University of Wisconsin Eau Claire:1"
"university of winnipeg","University of Winnipeg","1","1","University of Winnipeg:1"
"university of wisconsin la crosse","University of Wisconsin la Crosse","1","1","University of Wisconsin la Crosse:1"
"university of wisconsin green bay","University of Wisconsin Green Bay","1","1","University of Wisconsin Green Bay:1"
"anhui polytechnic university anhui university of technology and science","Anhui Polytechnic University (Anhui University of Technology & Science)","1","1","Anhui Polytechnic University (Anhui University of Technology & Science):1"
"anhui university","Anhui University","1","1","Anhui University:1"
"anhui normal university","Anhui Normal University","1","1","Anhui Normal University:1"
"valdosta state university","Valdosta State University","1","1","Valdosta State University:1"
"utsunomiya university","Utsunomiya University","1","1","Utsunomiya University:1"
"anhui university of science and technology","Anhui University of Science & Technology","1","1","Anhui University of Science & Technology:1"
"utah college of dental hygiene","Utah College of Dental Hygiene","1","1","Utah College of Dental Hygiene:1"
"anhui university of finance and economics","Anhui University of Finance & Economics","1","1","Anhui University of Finance & Economics:1"
"utah valley university","Utah Valley University","1","1","Utah Valley University:1"
"veterinarmedizinische universitat wien","Veterinarmedizinische Universitat Wien","1","1","Veterinarmedizinische Universitat Wien:1"
"vet agro sup","Vet Agro Sup","1","1","Vet Agro Sup:1"
"an najah national university","An Najah National University","1","1","An Najah National University:1"
"andhra university visakhapatnam","Andhra University Visakhapatnam","1","1","Andhra University Visakhapatnam:1"
"vel tech dr rr and dr sr technical university","Vel Tech Dr RR & Dr SR Technical University","1","1","Vel Tech Dr RR & Dr SR Technical University:1"
"anhui agricultural university","Anhui Agricultural University","1","1","Anhui Agricultural University:1"
"anhui medical university","Anhui Medical University","1","1","Anhui Medical University:1"
"veer surendra sai university of technology university college of engineering burla","Veer Surendra Sai University of Technology (University College of Engineering Burla)","1","1","Veer Surendra Sai University of Technology (University College of Engineering Burla):1"
"vasyl stefanyk precarpathian national university","Vasyl Stefanyk Precarpathian National University","1","1","Vasyl Stefanyk Precarpathian National University:1"
"university saint joseph de beyrouth","University Saint Joseph de Beyrouth","1","1","University Saint Joseph de Beyrouth:1"
"anna university","Anna University","1","1","Anna University:1"
"university stefan cel mare of suceava","University Stefan Cel Mare of Suceava","1","1","University Stefan Cel Mare of Suceava:1"
"university sidi mohammed ben abdellah fes","University Sidi Mohammed Ben Abdellah Fes","1","1","University Sidi Mohammed Ben Abdellah Fes:1"
"university politehnica of bucharest","University Politehnica of Bucharest","1","1","University Politehnica of Bucharest:1"
"university paris saclay comue university paris saclay","University Paris Saclay (comUE University Paris Saclay)","1","1","University Paris Saclay (comUE University Paris Saclay):1"
"aoyama gakuin university","Aoyama Gakuin University","1","1","Aoyama Gakuin University:1"
"university pierre et marie curie upmc","University Pierre et Marie Curie (UPMC)","1","1","University Pierre et Marie Curie (UPMC):1"
"annamalai university","Annamalai University","1","1","Annamalai University:1"
"urmia university","Urmia University","1","1","Urmia University:1"
"anhui university of technology","Anhui University of Technology","1","1","Anhui University of Technology:1"
"uskudar university","Uskudar University","1","1","Uskudar University:1"
"usak university","Usak University","1","1","Usak University:1"
"ankara university","Ankara University","1","1","Ankara University:1"
"university tubingen","University Tubingen","1","1","University Tubingen:1"
"university sultan moulay slimane beni mellal","University Sultan Moulay Slimane Beni Mellal","1","1","University Sultan Moulay Slimane Beni Mellal:1"
"university zu koln","University zu Koln","1","1","University zu Koln:1"
"university west","University West","1","1","University West:1"
"assam university","Assam University","1","1","Assam University:1"
"university of thessaly","University of Thessaly","1","1","University of Thessaly:1"
"baruch college of the city university of new york","Baruch College of the City University of New York","1","1","Baruch College of the City University of New York:1"
"university of tokushima","University of Tokushima","1","1","University of Tokushima:1"
"university of tlemcen abou bekr belkaid","University of Tlemcen Abou Bekr Belkaid","1","1","University of Tlemcen Abou Bekr Belkaid:1"
"baskent university","Baskent University","1","1","Baskent University:1"
"university of the west of england","University of the West of England","1","1","University of the West of England:1"
"university of the west indies at st augustine","University of the West Indies at St Augustine","1","1","University of the West Indies at St Augustine:1"
"university of the west of scotland university of paisley","University of the West of Scotland (University of Paisley)","1","1","University of the West of Scotland (University of Paisley):1"
"university of the west of england uwe bristol","University of the West of England (UWE Bristol)","1","1","University of the West of England (UWE Bristol):1"
"university of toulouse 3","University of Toulouse 3","1","1","University of Toulouse 3:1"
"university of toulouse 2","University of Toulouse 2","1","1","University of Toulouse 2:1"
"university of tours","University of Tours","1","1","University of Tours:1"
"university of toulouse i","University of Toulouse I","1","1","University of Toulouse I:1"
"university of toulon","University of Toulon","1","1","University of Toulon:1"
"barry university","Barry University","1","1","Barry University:1"
"bartin university","Bartin University","1","1","Bartin University:1"
"barnard college columbia university","Barnard College Columbia University","1","1","Barnard College Columbia University:1"
"university of torino","University of Torino","1","1","University of Torino:1"
"university of the aegean","University of the Aegean","1","1","University of the Aegean:1"
"university of texas tyler","University of Texas Tyler","1","1","University of Texas Tyler:1"
"university of the free state","University of the Free State","1","1","University of the Free State:1"
"university of the arts london","University of the Arts London","1","1","University of the Arts London:1"
"bauhaus universitat weimar","Bauhaus Universitat Weimar","1","1","Bauhaus Universitat Weimar:1"
"university of texas medical branch galveston","University of Texas Medical Branch Galveston","1","1","University of Texas Medical Branch Galveston:1"
"university of texas medical branch at galveston","University of Texas Medical Branch at Galveston","1","1","University of Texas Medical Branch at Galveston:1"
"university of texas san antonio","University of Texas San Antonio","1","1","University of Texas San Antonio:1"
"bayero university kano","Bayero University Kano","1","1","Bayero University Kano:1"
"university of the sciences","University of the Sciences","1","1","University of the Sciences:1"
"university of the potomac","University of the Potomac","1","1","University of the Potomac:1"
"university of the sunshine coast","University of the Sunshine Coast","1","1","University of the Sunshine Coast:1"
"university of the south pacific","University of the South Pacific","1","1","University of the South Pacific:1"
"university of the philippines diliman","University of the Philippines Diliman","1","1","University of the Philippines Diliman:1"
"university of the incarnate word","University of the Incarnate Word","1","1","University of the Incarnate Word:1"
"university of the highlands and islands","University of the Highlands and Islands","1","1","University of the Highlands and Islands:1"
"bath spa university","Bath Spa University","1","1","Bath Spa University:1"
"batman university","Batman University","1","1","Batman University:1"
"auburn university montgomery","Auburn University Montgomery","1","1","Auburn University Montgomery:1"
"audencia business school","Audencia Business School","1","1","Audencia Business School:1"
"atilim university","Atilim University","1","1","Atilim University:1"
"atlantic technological university","Atlantic Technological University","1","1","Atlantic Technological University:1"
"university of veterinary and animal sciences lahore","University of Veterinary and Animal Sciences Lahore","1","1","University of Veterinary and Animal Sciences Lahore:1"
"augusta university georgia regents university augusta state university","Augusta University (Georgia Regents University Augusta State University)","1","1","Augusta University (Georgia Regents University Augusta State University):1"
"university of valencia","University of Valencia","1","1","University of Valencia:1"
"university of versailles","University of Versailles","1","1","University of Versailles:1"
"university of verona","University of Verona","1","1","University of Verona:1"
"university of washington seattle","University of Washington- Seattle","1","1","University of Washington- Seattle:1"
"assiut university","Assiut University","1","1","Assiut University:1"
"university of washington tacoma campus","University of Washington-Tacoma Campus","1","1","University of Washington-Tacoma Campus:1"
"university of washington bothell campus","University of Washington-Bothell Campus","1","1","University of Washington-Bothell Campus:1"
"assumption university of thailand","Assumption University of Thailand","1","1","Assumption University of Thailand:1"
"university of wales trinity saint david swansea metropolitan university","University of Wales Trinity Saint David (Swansea Metropolitan University)","1","1","University of Wales Trinity Saint David (Swansea Metropolitan University):1"
"athabasca university","Athabasca University","1","1","Athabasca University:1"
"ataturk university","Ataturk University","1","1","Ataturk University:1"
"university of warmia and mazury","University of Warmia and Mazury","1","1","University of Warmia and Mazury:1"
"bangladesh agricultural university","Bangladesh Agricultural University","1","1","Bangladesh Agricultural University:1"
"baqiyatallah medical sciences university","Baqiyatallah Medical Sciences University","1","1","Baqiyatallah Medical Sciences University:1"
"balikesir university","Balikesir University","1","1","Balikesir University:1"
"banaras hindu university","Banaras Hindu University","1","1","Banaras Hindu University:1"
"university of tromso","University of Tromso","1","1","University of Tromso:1"
"barnard college","Barnard College","1","1","Barnard College:1"
"university of toyama","University of Toyama","1","1","University of Toyama:1"
"bard college","Bard College","1","1","Bard College:1"
"university of trier","University of Trier","1","1","University of Trier:1"
"university of urbino carlo bo","University of Urbino Carlo Bo","1","1","University of Urbino Carlo Bo:1"
"babol noshirvani university of technology noshirvani institute of technology babol","Babol Noshirvani University of Technology Noshirvani Institute of Technology Babol","1","1","Babol Noshirvani University of Technology Noshirvani Institute of Technology Babol:1"
"university of vaasa","University of Vaasa","1","1","University of Vaasa:1"
"autonomous university of barcelona universitat autonoma de barcelona","Autonomous University of Barcelona (Universitat Autonoma de Barcelona)","1","1","Autonomous University of Barcelona (Universitat Autonoma de Barcelona):1"
"university of udine","University of Udine","1","1","University of Udine:1"
"bahir dar university","Bahir Dar University","1","1","Bahir Dar University:1"
"bahria university","Bahria University","1","1","Bahria University:1"
"bahauddin zakariya university","Bahauddin Zakariya University","1","1","Bahauddin Zakariya University:1"
"bahcesehir universitesi bau","Bahcesehir Universitesi BAU","1","1","Bahcesehir Universitesi BAU:1"
"xinjiang university","Xinjiang University","1","1","Xinjiang University:1"
"xinjiang medical university","Xinjiang Medical University","1","1","Xinjiang Medical University:1"
"agri mountain university","Agri Mountain University","1","1","Agri Mountain University:1"
"xinxiang medical university","Xinxiang Medical University","1","1","Xinxiang Medical University:1"
"xihua university","Xihua University","1","1","Xihua University:1"
"xian university of technology","XiAn University of Technology","1","1","XiAn University of Technology:1"
"xian university of science and technology","XiAn University of Science & Technology","1","1","XiAn University of Science & Technology:1"
"xidian university","Xidian University","1","1","Xidian University:1"
"xiangtan university","Xiangtan University","1","1","Xiangtan University:1"
"yantai university","Yantai University","1","1","Yantai University:1"
"yanshan university","Yanshan University","1","1","Yanshan University:1"
"yasar university","Yasar University","1","1","Yasar University:1"
"aga khan university","Aga Khan University","1","1","Aga Khan University:1"
"yangzhou university","Yangzhou University","1","1","Yangzhou University:1"
"yamaguchi university","Yamaguchi University","1","1","Yamaguchi University:1"
"yamagata university","Yamagata University","1","1","Yamagata University:1"
"yangtze university","Yangtze University","1","1","Yangtze University:1"
"yanbian university","Yanbian University","1","1","Yanbian University:1"
"ahi evran university","Ahi Evran University","1","1","Ahi Evran University:1"
"wuhan textile university","Wuhan Textile University","1","1","Wuhan Textile University:1"
"agroparistech","AgroParisTech","1","1","AgroParisTech:1"
"wuhan university of science and technology","Wuhan University of Science & Technology","1","1","Wuhan University of Science & Technology:1"
"wuhan polytechnic university","Wuhan Polytechnic University","1","1","Wuhan Polytechnic University:1"
"wroc aw university of science and technology wroc aw university of technology","Wrocław University of Science and Technology (Wrocław University of Technology)","1","1","Wrocław University of Science and Technology (Wrocław University of Technology):1"
"wroc aw university of environmental and life sciences agricultural university","Wrocław University of Environmental and Life Sciences (Agricultural University)","1","1","Wrocław University of Environmental and Life Sciences (Agricultural University):1"
"wuhan institute of technology institute of chemical technology","Wuhan Institute of Technology (Institute of Chemical Technology)","1","1","Wuhan Institute of Technology (Institute of Chemical Technology):1"
"ahmadu bello university","Ahmadu Bello University","1","1","Ahmadu Bello University:1"
"xian shiyou university","XiAn Shiyou University","1","1","XiAn Shiyou University:1"
"xian polytechnic university","XiAn Polytechnic University","1","1","XiAn Polytechnic University:1"
"xian university of architecture and technology","XiAn University of Architecture & Technology","1","1","XiAn University of Architecture & Technology:1"
"xian technological university","XiAn Technological University","1","1","XiAn Technological University:1"
"xian jiaotong liverpool university","XiAn Jiaotong-Liverpool University","1","1","XiAn Jiaotong-Liverpool University:1"
"agricultural university of krakow","Agricultural University of Krakow","1","1","Agricultural University of Krakow:1"
"xavier university of cincinnati","Xavier University of Cincinnati","1","1","Xavier University of Cincinnati:1"
"agricultural university of athens","Agricultural University of Athens","1","1","Agricultural University of Athens:1"
"xiamen university of technology lujiang university","Xiamen University of Technology (Lujiang University)","1","1","Xiamen University of Technology (Lujiang University):1"
"zhejiang sci tech university","Zhejiang SCI-TECH University","1","1","Zhejiang SCI-TECH University:1"
"zhejiang ocean university","Zhejiang Ocean University","1","1","Zhejiang Ocean University:1"
"zhejiang university of finance and economics","Zhejiang University of Finance & Economics","1","1","Zhejiang University of Finance & Economics:1"
"abilene christian university","Abilene Christian University","1","1","Abilene Christian University:1"
"zhejiang normal university","Zhejiang Normal University","1","1","Zhejiang Normal University:1"
"zhejiang a and f university","Zhejiang A & F University","1","1","Zhejiang A & F University:1"
"acadia university","Acadia University","1","1","Acadia University:1"
"zhejiang gongshang university","Zhejiang Gongshang University","1","1","Zhejiang Gongshang University:1"
"zhejiang chinese medical university","Zhejiang Chinese Medical University","1","1","Zhejiang Chinese Medical University:1"
"zonguldak bulent ecevit universitesi","Zonguldak Bulent Ecevit Universitesi","1","1","Zonguldak Bulent Ecevit Universitesi:1"
"zhongnan university of economics and law","Zhongnan University of Economics and Law","1","1","Zhongnan University of Economics and Law:1"
"abant izzet baysal university","Abant Izzet Baysal University","1","1","Abant Izzet Baysal University:1"
"zurcher hochschule fur angewandte wissenschaften","Zurcher Hochschule fur Angewandte Wissenschaften","1","1","Zurcher Hochschule fur Angewandte Wissenschaften:1"
"zhongkai university of agriculture and engineering","Zhongkai University of Agriculture and Engineering","1","1","Zhongkai University of Agriculture and Engineering:1"
"zhejiang university of technology","Zhejiang University of Technology","1","1","Zhejiang University of Technology:1"
"zhejiang university of science and technology","Zhejiang University of Science & Technology","1","1","Zhejiang University of Science & Technology:1"
"zhengzhou university of light industry","Zhengzhou University of Light Industry","1","1","Zhengzhou University of Light Industry:1"
"abdullah gul university kayseri","Abdullah Gul University Kayseri","1","1","Abdullah Gul University Kayseri:1"
"yokohama city university","Yokohama City University","1","1","Yokohama City University:1"
"y ld r m beyaz t university","Yıldırım Beyazıt University","1","1","Yıldırım Beyazıt University:1"
"york saint john university","York Saint John University","1","1","York Saint John University:1"
"yokohama national university","Yokohama National University","1","1","Yokohama National University:1"
"adiyaman university","Adiyaman University","1","1","Adiyaman University:1"
"yerevan state university","Yerevan State University","1","1","Yerevan State University:1"
"yeditepe university","Yeditepe University","1","1","Yeditepe University:1"
"adnan menderes university","Adnan Menderes University","1","1","Adnan Menderes University:1"
"afyon kocatepe university","Afyon Kocatepe University","1","1","Afyon Kocatepe University:1"
"yuzuncu yil university","Yuzuncu Yil University","1","1","Yuzuncu Yil University:1"
"yunnan university","Yunnan University","1","1","Yunnan University:1"
"zanjan university of medical sciences","Zanjan University of Medical Sciences","1","1","Zanjan University of Medical Sciences:1"
"zagazig university","Zagazig University","1","1","Zagazig University:1"
"yunnan normal university","Yunnan Normal University","1","1","Yunnan Normal University:1"
"youngstown state university","Youngstown State University","1","1","Youngstown State University:1"
"acibadem university","Acibadem University","1","1","Acibadem University:1"
"yunnan agricultural university","Yunnan Agricultural University","1","1","Yunnan Agricultural University:1"
"yuan ze university","Yuan Ze University","1","1","Yuan Ze University:1"
"wroclaw university of economics","Wroclaw University of Economics","1","1","Wroclaw University of Economics:1"
"walden university national technological university","Walden University (National Technological University)","1","1","Walden University (National Technological University):1"
"walailak university","Walailak University","1","1","Walailak University:1"
"warsaw university of life sciences agricultural university","Warsaw University of Life Sciences (Agricultural University)","1","1","Warsaw University of Life Sciences (Agricultural University):1"
"warsaw school of economics","Warsaw School of Economics","1","1","Warsaw School of Economics:1"
"allen college","Allen College","1","1","Allen College:1"
"alpen adria universitat klagenfurt","Alpen Adria Universitat Klagenfurt","1","1","Alpen Adria Universitat Klagenfurt:1"
"vu university of amsterdam","VU University of Amsterdam","1","1","VU University of Amsterdam:1"
"wakayama medical college","Wakayama Medical College","1","1","Wakayama Medical College:1"
"almaarefa university","Almaarefa University","1","1","Almaarefa University:1"
"weber state university","Weber State University","1","1","Weber State University:1"
"albert einstein college of medicine","Albert Einstein College of Medicine","1","1","Albert Einstein College of Medicine:1"
"weizmann institute of science","Weizmann Institute of Science","1","1","Weizmann Institute of Science:1"
"weill medical college cornell university","Weill Medical College Cornell University","1","1","Weill Medical College Cornell University:1"
"alexandru ioan cuza university","Alexandru Ioan Cuza University","1","1","Alexandru Ioan Cuza University:1"
"all india institute of medical sciences aiims","All India Institute of Medical Sciences AIIMS","1","1","All India Institute of Medical Sciences AIIMS:1"
"allama iqbal open university","Allama Iqbal Open University","1","1","Allama Iqbal Open University:1"
"alfred university","Alfred University","1","1","Alfred University:1"
"aligarh muslim university","Aligarh Muslim University","1","1","Aligarh Muslim University:1"
"american university of sharjah","American University of Sharjah","1","1","American University of Sharjah:1"
"american university washington dc","American University Washington DC","1","1","American University Washington DC:1"
"american university in cairo","American University in Cairo","1","1","American University in Cairo:1"
"american university of antigua aua college of medicine","American University of Antigua (AUA) College of Medicine","1","1","American University of Antigua (AUA) College of Medicine:1"
"vietnam national university ho chi minh city","Vietnam National University Ho Chi Minh City","1","1","Vietnam National University Ho Chi Minh City:1"
"amrita university","Amrita University","1","1","Amrita University:1"
"vidyasagar university","Vidyasagar University","1","1","Vidyasagar University:1"
"amity university","Amity University","1","1","Amity University:1"
"amman arab university","Amman Arab University","1","1","Amman Arab University:1"
"voronezh state university","Voronezh State University","1","1","Voronezh State University:1"
"volgograd state university","Volgograd State University","1","1","Volgograd State University:1"
"alzahra university azzahra university","Alzahra University (Azzahra University)","1","1","Alzahra University (Azzahra University):1"
"american college of greece deree college","American College of Greece (Deree College","1","1","American College of Greece (Deree College:1"
"vnuhcm university of technology","VNUHCM University of Technology","1","1","VNUHCM University of Technology:1"
"visveswaraiah technological university","Visveswaraiah Technological University","1","1","Visveswaraiah Technological University:1"
"visvesvaraya national institute of technology","Visvesvaraya National Institute of Technology","1","1","Visvesvaraya National Institute of Technology:1"
"vnuhcm international university","VNUHCM International University","1","1","VNUHCM International University:1"
"vit university vellore","VIT University Vellore","1","1","VIT University Vellore:1"
"widener university","Widener University","1","1","Widener University:1"
"akita university","Akita University","1","1","Akita University:1"
"akdeniz university","Akdeniz University","1","1","Akdeniz University:1"
"widener university main campus","Widener University - Main Campus","1","1","Widener University - Main Campus:1"
