"UniversityNorm","UniversityDisplay","FinalCountryNorm","DistinctCountries","CountryBreakdown","UniqueLenders","TotalRows","Status","RawCountryValues","RawNameValues"
"florida gulf coast university","Florida Gulf Coast University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Florida Gulf Coast University"
"florida institute of technology","Florida Institute of Technology","united states of america","1","united states of america:3","3","3","PASS","United States of America","Florida Institute of Technology"
"florida international university","Florida International University","united states of america","1","united states of america:8","8","8","PASS","United States of America","Florida International University"
"florida polytechnic university","Florida Polytechnic University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Florida Polytechnic University"
"florida state university","Florida State University","united states of america","1","united states of america:8","8","8","PASS","United States of America","Florida State University"
"fordham university","Fordham University","united states of america","1","united states of america:4","4","4","PASS","United States of America","Fordham University"
"foshan university","Foshan University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Foshan University"
"franciscan missionaries of our lady university","Franciscan Missionaries of Our Lady University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Franciscan Missionaries of Our Lady University"
"franklin and marshall college","Franklin & Marshall College","united states of america","1","united states of america:2","2","2","PASS","United States of America","Franklin & Marshall College"
"free university of bolzano","Free University of Bolzano","italy","1","italy:3","3","3","PASS","Italy","Free University of Bolzano"
"free university of brussels","Free University of Brussels","united states of america","1","united states of america:1","1","1","PASS","United States of America","Free University of Brussels"
"freie universitat berlin","Freie Universitat Berlin","germany","1","germany:6","6","6","PASS","Germany","Freie Universitat Berlin"
"friedrich alexander universitat erlangen nurnberg","Friedrich-Alexander-Universitat Erlangen-Nurnberg","germany","1","germany:1","1","1","PASS","Germany","Friedrich-Alexander-Universitat Erlangen-Nurnberg"
"friedrich alexander universitat erlangen nurnberg fau","Friedrich Alexander Universitat Erlangen Nurnberg FAU","united states of america","1","united states of america:1","1","1","PASS","United States of America","Friedrich Alexander Universitat Erlangen Nurnberg FAU"
"friedrich alexander university erlangen nurnberg fau","Friedrich Alexander University Erlangen Nurnberg FAU","germany","1","germany:1","1","1","PASS","Germany","Friedrich Alexander University Erlangen Nurnberg FAU"
"friedrich schiller universitat jena","Friedrich Schiller Universitat Jena","united states of america","1","united states of america:1","1","1","PASS","United States of America","Friedrich Schiller Universitat Jena"
"frontier nursing university","Frontier Nursing University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Frontier Nursing University"
"fu jen catholic university","Fu Jen Catholic University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Fu Jen Catholic University"
"fudan university","Fudan University","china","1","china:4","4","4","PASS","China","Fudan University"
"fujian agriculture and forestry university","Fujian Agriculture & Forestry University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Fujian Agriculture & Forestry University"
